date,product_id,product_name,category,city,state,quantity,unit_price,discount_pct,revenue,profit
2023-01-01,P001,Laptop Pro X1,Electronics,Bangalore,Karnataka,8,74999.0,0,599992.0,183992.0
2023-01-01,P002,Smart Watch S3,Wearables,Hyderabad,Telangana,9,24999.0,0,224991.0,89991.0
2023-01-01,P003,Wireless Earbuds,Audio,Chennai,Tamil Nadu,8,4999.0,0,39992.0,19992.0
2023-01-01,P004,USB-C Hub 7-in-1,Accessories,Bangalore,Karnataka,9,1699.15,15,15292.35,8092.35
2023-01-01,P005,Mechanical Keyboard,Peripherals,Bangalore,Karnataka,9,8099.1,10,72891.9,32391.9
2023-01-01,P006,Monitor 27inch 4K,Electronics,Ahmedabad,Gujarat,8,34999.0,0,279992.0,87992.0
2023-01-01,P007,Gaming Mouse RGB,Peripherals,Mumbai,Maharashtra,15,2999.0,0,44985.0,26985.0
2023-01-01,P008,Laptop Stand Aluminum,Accessories,Chennai,Tamil Nadu,5,1499.0,0,7495.0,4495.0
2023-01-02,P001,Laptop Pro X1,Electronics,Mumbai,Maharashtra,8,67499.1,10,539992.8,123992.8
2023-01-02,P002,Smart Watch S3,Wearables,Chennai,Tamil Nadu,6,21249.15,15,127494.9,37494.9
2023-01-02,P003,Wireless Earbuds,Audio,Ahmedabad,Gujarat,6,4999.0,0,29994.0,14994.0
2023-01-02,P004,USB-C Hub 7-in-1,Accessories,Kolkata,West Bengal,12,1799.1,10,21589.2,11989.2
2023-01-02,P005,Mechanical Keyboard,Peripherals,Hyderabad,Telangana,2,8999.0,0,17998.0,8998.0
2023-01-02,P006,Monitor 27inch 4K,Electronics,Delhi,Delhi,8,29749.15,15,237993.2,45993.2
2023-01-02,P007,Gaming Mouse RGB,Peripherals,Ahmedabad,Gujarat,12,2999.0,0,35988.0,21588.0
2023-01-02,P008,Laptop Stand Aluminum,Accessories,Hyderabad,Telangana,5,1499.0,0,7495.0,4495.0
2023-01-03,P001,Laptop Pro X1,Electronics,Chennai,Tamil Nadu,7,74999.0,0,524993.0,160993.0
2023-01-03,P002,Smart Watch S3,Wearables,Bangalore,Karnataka,8,24999.0,0,199992.0,79992.0
2023-01-03,P003,Wireless Earbuds,Audio,Ahmedabad,Gujarat,6,4999.0,0,29994.0,14994.0
2023-01-03,P004,USB-C Hub 7-in-1,Accessories,Pune,Maharashtra,11,1999.0,0,21989.0,13189.0
2023-01-03,P005,Mechanical Keyboard,Peripherals,Hyderabad,Telangana,6,8999.0,0,53994.0,26994.0
2023-01-03,P006,Monitor 27inch 4K,Electronics,Kolkata,West Bengal,8,31499.1,10,251992.8,59992.8
2023-01-03,P007,Gaming Mouse RGB,Peripherals,Bangalore,Karnataka,9,2849.05,5,25641.45,14841.45
2023-01-03,P008,Laptop Stand Aluminum,Accessories,Bangalore,Karnataka,11,1349.1,10,14840.1,8240.1
2023-01-04,P001,Laptop Pro X1,Electronics,Hyderabad,Telangana,5,63749.15,15,318745.75,58745.75
2023-01-04,P002,Smart Watch S3,Wearables,Pune,Maharashtra,9,22499.1,10,202491.9,67491.9
