product_id,product_name,category,rating,review_text,sentiment,date
P001,Laptop Pro X1,Electronics,5,Excellent build quality. Worth every rupee!,positive,2023-08-26
P008,Laptop Stand Aluminum,Accessories,1,Disappointed. The build quality is very poor.,negative,2023-04-03
P003,Wireless Earbuds,Audio,4,Outstanding quality. Delivery was super fast.,positive,2023-08-19
P001,Laptop Pro X1,Electronics,2,Worst purchase ever. Do not buy this product.,negative,2023-08-21
P002,Smart Watch S3,Wearables,3,Decent quality for the price. Average experience.,neutral,2023-03-05
P002,Smart Watch S3,Wearables,2,Charging issues from day one. Horrible experience.,negative,2023-11-21
P006,Monitor 27inch 4K,Electronics,1,Broke immediately. Waste of money. Requesting refund.,negative,2023-09-19
P003,Wireless Earbuds,Audio,4,"Brilliant product. Setup was easy, works flawlessly.",positive,2023-01-23
P003,Wireless Earbuds,Audio,5,Excellent build quality. Worth every rupee!,positive,2023-03-25
P003,Wireless Earbuds,Audio,2,Terrible product. Stopped working after 2 days.,negative,2023-08-03
P005,Mechanical Keyboard,Peripherals,3,"Acceptable product. Not amazing, not terrible.",neutral,2023-05-28
P003,Wireless Earbuds,Audio,2,Arrived damaged. Support was completely unhelpful.,negative,2023-04-14
P001,Laptop Pro X1,Electronics,5,Fantastic! The features are exactly what I needed.,positive,2023-01-07
P008,Laptop Stand Aluminum,Accessories,4,Superb value for money. Very happy with this purchase.,positive,2023-10-06
P001,Laptop Pro X1,Electronics,5,Superb value for money. Very happy with this purchase.,positive,2023-05-02
P004,USB-C Hub 7-in-1,Accessories,5,Superb value for money. Very happy with this purchase.,positive,2023-08-21
P007,Gaming Mouse RGB,Peripherals,4,Amazing product! Works perfectly. Highly recommend.,positive,2023-05-06
P005,Mechanical Keyboard,Peripherals,5,Love this product. Best purchase I have made this year.,positive,2023-01-26
P003,Wireless Earbuds,Audio,2,Fake product. Nothing like the pictures shown.,negative,2023-01-19
P003,Wireless Earbuds,Audio,5,Fantastic! The features are exactly what I needed.,positive,2023-06-19
P002,Smart Watch S3,Wearables,1,Broke immediately. Waste of money. Requesting refund.,negative,2023-04-02
P003,Wireless Earbuds,Audio,5,Excellent build quality. Worth every rupee!,positive,2023-08-22
P006,Monitor 27inch 4K,Electronics,5,"Great quality, fast delivery. Exceeded my expectations.",positive,2023-06-03
